address,type,size,symbol
10000650,function,8,?GetRuntimeClass@CObject@@VFCPEUCRuntimeClass@@XZ
100006a0,function,4,?AssertValid@CObject@@VFCXXZ
100006a4,function,4,?Dump@CObject@@VFCXAEVCDumpContext@@@Z
100006a8,function,151,?CreateObject@CRuntimeClass@@RECPEVCObject@@XZ
10000740,function,42,?ConstructObject@CRuntimeClass@@RECHPEX@Z
100007d2,function,32,?Init@CString@@JECXXZ
100007f2,function,30,?SafeDelete@CString@@LAXPED@Z
10000810,function,30,??0CString@@REC@XZ
1000082e,function,46,??0CString@@REC@AFV0@@Z
1000085c,function,72,?AllocBuffer@CString@@JECXH@Z
100008a4,function,40,?Empty@CString@@RECXXZ
100008cc,function,22,??1CString@@REC@XZ
100008e2,function,89,?AllocCopy@CString@@JFCXAEV1@HHH@Z
1000093c,function,100,??0CString@@REC@PFD@Z
10000c20,function,61,??0CWnd@@REC@XZ
10000e28,function,18,?FromHandle@CWnd@@TCPEV1@PBUHWND__@@@Z
10000e3a,function,38,?FromHandlePermanent@CWnd@@TCPEV1@PBUHWND__@@@Z
10000e9a,function,48,?Detach@CWnd@@RECPBUHWND__@@XZ
10000fda,function,81,?_AfxHookWindowCreate@@ZCXPEVCWnd@@@Z
1000102c,function,57,?_AfxUnhookWindowCreate@@ZCHXZ
10001066,function,254,?CreateEx@CWnd@@JECHKPFD0KHHHHPBUHWND__@@PBUHMENU__@@PED@Z
10001188,function,116,?Create@CWnd@@VECHPFD0KAFUtagRECT@@PEV1@IPEUCCreateContext@@@Z
100011fc,function,100,??1CWnd@@VEC@XZ
10001322,function,77,?DestroyWindow@CWnd@@VECHXZ
10001cb0,function,62,?GetTopLevelParent@CWnd@@RFCPEV1@XZ
10002656,function,204,?FromHandle@CHandleMap@@RACPEVCObject@@PBX@Z
10002722,function,19,?RemoveHandle@CHandleMap@@RACXPBX@Z
10002a84,function,51,??1CDialog@@VEC@XZ
10002b88,function,110,??0CDialog@@JEC@XZ
10002bf6,function,67,?PreModal@CDialog@@JECPBUHWND__@@XZ
10002c3a,function,38,?PostModal@CDialog@@JECXXZ
10002c60,function,106,?DoModal@CDialog@@VECHXZ
10003244,function,66,??0CCmdTarget@@REC@XZ
10003286,function,69,??1CCmdTarget@@VEC@XZ
10003f90,function,8,?GetRuntimeClass@CPtrList@@VFCPEUCRuntimeClass@@XZ
10004440,function,8,?GetRuntimeClass@CException@@VFCPEUCRuntimeClass@@XZ
10004448,function,35,??0AFX_EXCEPTION_LINK@@RAC@XZ
1000446c,function,72,?AfxTryCleanupProc@@ZCXXZ
100044d0,function,197,?AfxThrow@@ZCXPEVCException@@H@Z
10004596,function,5,?AfxTerminate@@ZCXXZ
100045aa,function,8,?GetRuntimeClass@CMemoryException@@VFCPEUCRuntimeClass@@XZ
100045f2,function,8,?GetRuntimeClass@CNotSupportedException@@VFCPEUCRuntimeClass@@XZ
10004ada,function,14,_AFX_VERSION
10005446,function,8,?GetRuntimeClass@CMapWordToPtr@@VFCPEUCRuntimeClass@@XZ
10005654,function,54,?FreeAssoc@CMapWordToPtr@@JECXPEUCAssoc@1@@Z
1000568a,function,118,?GetAssocAt@CMapWordToPtr@@JFCPEUCAssoc@1@GAEI@Z
10005700,function,65,?Lookup@CMapWordToPtr@@RFCHGAEPEX@Z
100057e4,function,153,?RemoveKey@CMapWordToPtr@@RECHG@Z
10005b6a,function,176,??0CFrameWnd@@REC@XZ
10005c1a,function,54,??1CFrameWnd@@VEC@XZ
10005f98,function,221,?Create@CFrameWnd@@RECHPFD0KAFUtagRECT@@PEVCWnd@@0KPEUCCreateContext@@@Z
1000776e,function,12,?AfxThrowResourceException@@ZCXXZ
100077ea,function,42,??0CDC@@REC@XZ
10007830,function,18,?FromHandle@CDC@@TCPEV1@PBUHDC__@@@Z
10007842,function,73,?Attach@CDC@@RECHPBUHDC__@@@Z
1000788c,function,66,?Detach@CDC@@RECPBUHDC__@@XZ
100078ce,function,39,?DeleteDC@CDC@@RECHXZ
100078f6,function,62,??1CDC@@VEC@XZ
10007b4a,function,117,?SelectObject@CDC@@RECPEVCBrush@@PEV2@@Z
10007bc0,function,117,?SelectObject@CDC@@VECPEVCFont@@PEV2@@Z
10007c88,function,69,?SetBkMode@CDC@@RECHH@Z
10007cce,function,82,?SetTextColor@CDC@@VECKK@Z
10008196,function,8,?GetRuntimeClass@CGdiObject@@VFCPEUCRuntimeClass@@XZ
100081ba,function,18,?FromHandle@CGdiObject@@TCPEV1@PBX@Z
100081cc,function,58,?Attach@CGdiObject@@RECHPBX@Z
10008206,function,48,?Detach@CGdiObject@@RECPBXXZ
10008236,function,39,?DeleteObject@CGdiObject@@RECHXZ
1000825e,function,47,??1CGdiObject@@VEC@XZ
100082c8,function,8,?GetRuntimeClass@CFont@@VFCPEUCRuntimeClass@@XZ
10008370,function,89,??0CBrush@@REC@K@Z
1000871e,function,89,?_AfxGetParentOwner@@ZCPBUHWND__@@PBU1@@Z
10008bda,function,120,?_AfxGetSafeOwner@@ZCPBUHWND__@@PEVCWnd@@@Z
10008c52,function,93,?EnableModeless@CWinApp@@RECXH@Z
10008e18,function,70,?MessageBox@CWnd@@RECHPFD0I@Z
10080f5c,function,4,?Serialize@CObject@@VECXAEVCArchive@@@Z
10083d60,function,49,??_GCObject@@VECPEXI@Z
100840aa,vtable,20,??_7CGdiObject@@6F@
100840be,vtable,20,??_7CFont@@6F@
100840d2,vtable,20,??_7CObject@@6F@
10303236,vtable,20,??_7CException@@6F@
1030324a,vtable,20,??_7CMemoryException@@6F@
10303272,vtable,20,??_7CPtrList@@6F@
10303286,vtable,20,??_7CMapWordToPtr@@6F@
104000d4,global,20,?classCObject@CObject@@2UCRuntimeClass@@A
104000ec,global,20,?classCException@CException@@2UCRuntimeClass@@A
10400104,global,20,?classCMemoryException@CMemoryException@@2UCRuntimeClass@@A
10400118,global,20,?classCNotSupportedException@CNotSupportedException@@2UCRuntimeClass@@A
1040012c,global,20,?classCPtrList@CPtrList@@2UCRuntimeClass@@A
10400140,global,20,?classCMapWordToPtr@CMapWordToPtr@@2UCRuntimeClass@@A
10400166,global,20,?classCWnd@CWnd@@2UCRuntimeClass@@A
10400182,global,20,?classCFrameWnd@CFrameWnd@@2UCRuntimeClass@@A
10400196,global,20,?classCView@CView@@2UCRuntimeClass@@A
104001aa,global,20,?classCControlBar@CControlBar@@2UCRuntimeClass@@A
104001c4,global,20,?classCDialog@CDialog@@2UCRuntimeClass@@A
104001de,global,20,?classCFileDialog@CFileDialog@@2UCRuntimeClass@@A
104001f2,global,20,?classCResourceException@CResourceException@@2UCRuntimeClass@@A
10400206,global,20,?classCUserException@CUserException@@2UCRuntimeClass@@A
1040021a,global,20,?classCDC@CDC@@2UCRuntimeClass@@A
1040022e,global,20,?classCClientDC@CClientDC@@2UCRuntimeClass@@A
10400242,global,20,?classCWindowDC@CWindowDC@@2UCRuntimeClass@@A
10400256,global,20,?classCPaintDC@CPaintDC@@2UCRuntimeClass@@A
1040026a,global,20,?classCGdiObject@CGdiObject@@2UCRuntimeClass@@A
1040027e,global,20,?classCPen@CPen@@2UCRuntimeClass@@A
10400292,global,20,?classCBrush@CBrush@@2UCRuntimeClass@@A
104002a6,global,20,?classCFont@CFont@@2UCRuntimeClass@@A
104002ba,global,20,?classCBitmap@CBitmap@@2UCRuntimeClass@@A
104002ce,global,20,?classCPalette@CPalette@@2UCRuntimeClass@@A
104002e2,global,20,?classCRgn@CRgn@@2UCRuntimeClass@@A
104002f6,global,20,?classCMenu@CMenu@@2UCRuntimeClass@@A
1040030a,global,20,?classCCmdTarget@CCmdTarget@@2UCRuntimeClass@@A
10400320,global,20,?classCWinApp@CWinApp@@2UCRuntimeClass@@A
